,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"Cluster 9, FIRST_LIVER_DISEASE",0.272,0.02,0.234,0.307,0.001,0,1028,955,NaN
"Cluster 9, FIRST_LYMPHOMA",0.028,0.005,0.017,0.037,0,0,950,1014,NaN
"Cluster 9, FIRST_METASTATIC_CANCER",0.01,0.004,0.004,0.018,0,0,935,983,NaN
"Cluster 9, FIRST_OBESITY",0.31,0.017,0.276,0.342,0.001,0,628,670,NaN
"Cluster 9, FIRST_OND",0.354,0.021,0.318,0.399,0.001,0,1010,908,NaN
"Cluster 9, FIRST_PARALYSIS",0.106,0.012,0.086,0.129,0,0,958,827,NaN
"Cluster 9, FIRST_PEP_ULCER",0.113,0.011,0.092,0.134,0,0,912,857,NaN
"Cluster 9, FIRST_PVD",0.162,0.015,0.131,0.189,0,0,1002,977,NaN
"Cluster 9, FIRST_PSYCHOSES",0.056,0.009,0.04,0.074,0,0,1059,657,NaN
"Cluster 9, FIRST_PCD",0.041,0.008,0.026,0.056,0,0,872,906,NaN
"Cluster 9, FIRST_RENAL_DISEASE",0.171,0.017,0.136,0.203,0.001,0,954,908,NaN
"Cluster 9, FIRST_RA",0.066,0.009,0.05,0.085,0,0,983,720,NaN
"Cluster 9, FIRST_CANCER",0.122,0.014,0.096,0.151,0,0,881,936,NaN
"Cluster 9, FIRST_VALVULAR_DISEASE",0.04,0.008,0.026,0.056,0,0,934,860,NaN
"Cluster 9, FIRST_WEIGHT_LOSS",0.19,0.014,0.163,0.217,0,0,1126,949,NaN
"Cluster 10, FIRST_BL_ANAEMIA",0.012,0.002,0.008,0.016,0,0,870,935,NaN
"Cluster 10, FIRST_ARRYTHMIA",0.822,0.012,0.801,0.846,0,0,940,1017,NaN
"Cluster 10, FIRST_CPD",0.413,0.011,0.391,0.435,0,0,916,1058,NaN
"Cluster 10, FIRST_CHF",0.947,0.014,0.916,0.972,0,0,802,970,NaN
"Cluster 10, FIRST_COAGULOPATHY",0.014,0.003,0.009,0.019,0,0,887,846,NaN
"Cluster 10, FIRST_DEF_ANAEMIA",0.288,0.011,0.268,0.309,0,0,944,906,NaN
"Cluster 10, FIRST_DEPRESSION",0.193,0.009,0.177,0.213,0,0,910,726,NaN
"Cluster 10, FIRST_DIAB_COMP",0.002,0.001,0.001,0.005,0,0,906,850,NaN
"Cluster 10, FIRST_DIAB",0.21,0.011,0.19,0.234,0,0,894,942,NaN
"Cluster 10, FIRST_DRUG_ABUSE",0.008,0.002,0.005,0.011,0,0,903,817,NaN
"Cluster 10, FIRST_FED",0.495,0.013,0.469,0.518,0,0,1080,951,NaN
"Cluster 10, FIRST_HYPERTENSION",0.864,0.011,0.843,0.886,0,0,1006,735,NaN
"Cluster 10, FIRST_HYPERTENSION_COMP",0.064,0.008,0.05,0.08,0,0,1080,931,NaN
"Cluster 10, FIRST_HYPOTHYROIDISM",0.155,0.008,0.14,0.17,0,0,1215,1007,NaN
"Cluster 10, FIRST_LIVER_DISEASE",0.062,0.005,0.051,0.071,0,0,951,879,NaN
"Cluster 10, FIRST_LYMPHOMA",0.019,0.003,0.014,0.025,0,0,975,938,NaN
"Cluster 10, FIRST_METASTATIC_CANCER",0.003,0.002,0.001,0.006,0,0,1037,972,NaN
"Cluster 10, FIRST_OBESITY",0.148,0.008,0.132,0.164,0,0,1218,975,NaN
"Cluster 10, FIRST_OND",0.253,0.013,0.227,0.278,0,0,912,1021,NaN
"Cluster 10, FIRST_PARALYSIS",0.022,0.004,0.014,0.03,0,0,1036,901,NaN
"Cluster 10, FIRST_PEP_ULCER",0.07,0.005,0.06,0.08,0,0,1010,899,NaN
"Cluster 10, FIRST_PVD",0.215,0.01,0.195,0.234,0,0,1137,978,NaN
"Cluster 10, FIRST_PSYCHOSES",0.014,0.003,0.009,0.019,0,0,969,907,NaN
"Cluster 10, FIRST_PCD",0.182,0.009,0.165,0.197,0,0,898,976,NaN
"Cluster 10, FIRST_RENAL_DISEASE",0.5,0.014,0.474,0.529,0,0,811,941,NaN
"Cluster 10, FIRST_RA",0.095,0.005,0.085,0.105,0,0,1174,847,NaN
"Cluster 10, FIRST_CANCER",0.191,0.008,0.174,0.207,0,0,950,794,NaN
"Cluster 10, FIRST_VALVULAR_DISEASE",0.629,0.016,0.599,0.66,0.001,0,882,795,NaN
"Cluster 10, FIRST_WEIGHT_LOSS",0.13,0.007,0.117,0.143,0,0,988,701,NaN
"Cluster 11, FIRST_BL_ANAEMIA",0.012,0.005,0.005,0.022,0,0,1022,802,NaN
"Cluster 11, FIRST_ARRYTHMIA",0.28,0.023,0.235,0.322,0.001,0.001,987,988,NaN
"Cluster 11, FIRST_CPD",0.224,0.021,0.187,0.268,0.001,0,881,908,NaN
"Cluster 11, FIRST_CHF",0.113,0.018,0.079,0.15,0.001,0,1038,1012,NaN
"Cluster 11, FIRST_COAGULOPATHY",0.016,0.006,0.006,0.027,0,0,988,947,NaN
"Cluster 11, FIRST_DEF_ANAEMIA",0.144,0.018,0.111,0.181,0.001,0,1053,916,NaN
"Cluster 11, FIRST_DEPRESSION",0.068,0.013,0.045,0.093,0,0,937,983,NaN
"Cluster 11, FIRST_DIAB_COMP",0.008,0.005,0.002,0.016,0,0,1162,1012,NaN
"Cluster 11, FIRST_DIAB",0.191,0.02,0.154,0.233,0.001,0,980,977,NaN
"Cluster 11, FIRST_DRUG_ABUSE",0.003,0.002,0.001,0.007,0,0,1012,975,NaN
"Cluster 11, FIRST_FED",0.42,0.025,0.372,0.467,0.001,0.001,652,908,NaN
"Cluster 11, FIRST_HYPERTENSION",0.822,0.025,0.775,0.873,0.001,0.001,888,889,NaN
"Cluster 11, FIRST_HYPERTENSION_COMP",0.27,0.023,0.229,0.315,0.001,0,1068,943,NaN
"Cluster 11, FIRST_HYPOTHYROIDISM",0.098,0.013,0.073,0.123,0,0,815,843,NaN
"Cluster 11, FIRST_LIVER_DISEASE",0.051,0.011,0.032,0.073,0,0,1005,905,NaN
"Cluster 11, FIRST_LYMPHOMA",0.013,0.006,0.004,0.024,0,0,914,983,NaN
"Cluster 11, FIRST_METASTATIC_CANCER",0.858,0.033,0.79,0.913,0.001,0.001,970,1020,NaN
"Cluster 11, FIRST_OBESITY",0.078,0.013,0.053,0.102,0,0,1067,834,NaN
"Cluster 11, FIRST_OND",0.113,0.016,0.083,0.144,0,0,1004,945,NaN
"Cluster 11, FIRST_PARALYSIS",0.021,0.007,0.01,0.036,0,0,1006,948,NaN
"Cluster 11, FIRST_PEP_ULCER",0.04,0.009,0.024,0.058,0,0,811,956,NaN
"Cluster 11, FIRST_PVD",0.109,0.015,0.081,0.139,0,0,1060,860,NaN
"Cluster 11, FIRST_PSYCHOSES",0.007,0.003,0.002,0.013,0,0,975,1022,NaN
"Cluster 11, FIRST_PCD",0.073,0.013,0.048,0.1,0,0,936,905,NaN
"Cluster 11, FIRST_RENAL_DISEASE",0.986,0.012,0.965,0.998,0,0,1095,877,NaN
"Cluster 11, FIRST_RA",0.064,0.011,0.045,0.087,0,0,992,934,NaN
"Cluster 11, FIRST_CANCER",0.96,0.013,0.933,0.982,0,0,947,856,NaN
"Cluster 11, FIRST_VALVULAR_DISEASE",0.059,0.014,0.036,0.088,0,0,1003,906,NaN
"Cluster 11, FIRST_WEIGHT_LOSS",0.076,0.016,0.049,0.106,0.001,0,876,845,NaN
"Cluster 12, FIRST_BL_ANAEMIA",0.025,0.007,0.014,0.039,0,0,1102,990,NaN
"Cluster 12, FIRST_ARRYTHMIA",0.425,0.028,0.373,0.479,0.001,0.001,1073,883,NaN
"Cluster 12, FIRST_CPD",0.499,0.028,0.443,0.548,0.001,0.001,1100,818,NaN
"Cluster 12, FIRST_CHF",0.215,0.03,0.16,0.275,0.001,0.001,923,951,NaN
"Cluster 12, FIRST_COAGULOPATHY",0.089,0.014,0.062,0.115,0,0,931,901,NaN
"Cluster 12, FIRST_DEF_ANAEMIA",0.371,0.027,0.323,0.424,0.001,0.001,919,901,NaN
"Cluster 12, FIRST_DEPRESSION",0.725,0.037,0.651,0.792,0.001,0.001,958,925,NaN
"Cluster 12, FIRST_DIAB_COMP",0.003,0.002,0.001,0.006,0,0,1008,842,NaN
"Cluster 12, FIRST_DIAB",0.181,0.024,0.137,0.226,0.001,0.001,1108,1025,NaN
"Cluster 12, FIRST_DRUG_ABUSE",0.144,0.019,0.11,0.181,0.001,0,970,883,NaN
"Cluster 12, FIRST_FED",0.703,0.032,0.644,0.766,0.001,0.001,920,947,NaN
"Cluster 12, FIRST_HYPERTENSION",0.528,0.029,0.473,0.583,0.001,0.001,1074,1070,NaN
"Cluster 12, FIRST_HYPERTENSION_COMP",0.009,0.005,0.002,0.019,0,0,1037,791,NaN
"Cluster 12, FIRST_HYPOTHYROIDISM",0.071,0.013,0.047,0.096,0,0,1087,704,NaN
"Cluster 12, FIRST_LIVER_DISEASE",0.474,0.04,0.394,0.551,0.001,0.001,1006,874,NaN
"Cluster 12, FIRST_LYMPHOMA",0.007,0.005,0.002,0.017,0,0,1050,940,NaN
"Cluster 12, FIRST_METASTATIC_CANCER",0.006,0.005,0.001,0.014,0,0,1024,1025,NaN
"Cluster 12, FIRST_OBESITY",0.149,0.022,0.105,0.189,0.001,0.001,585,944,NaN
"Cluster 12, FIRST_OND",0.515,0.029,0.459,0.573,0.001,0.001,1061,939,NaN
"Cluster 12, FIRST_PARALYSIS",0.068,0.015,0.041,0.096,0,0,1102,983,NaN
"Cluster 12, FIRST_PEP_ULCER",0.187,0.021,0.148,0.23,0.001,0,934,843,NaN
"Cluster 12, FIRST_PVD",0.153,0.021,0.117,0.195,0.001,0,895,866,NaN
"Cluster 12, FIRST_PSYCHOSES",0.111,0.016,0.081,0.143,0.001,0,986,958,NaN
"Cluster 12, FIRST_PCD",0.109,0.018,0.076,0.146,0.001,0,1047,1023,NaN
"Cluster 12, FIRST_RENAL_DISEASE",0.204,0.022,0.163,0.248,0.001,0.001,796,754,NaN
"Cluster 12, FIRST_RA",0.053,0.011,0.035,0.076,0,0,984,944,NaN
"Cluster 12, FIRST_CANCER",0.124,0.023,0.082,0.172,0.001,0.001,788,805,NaN
"Cluster 12, FIRST_VALVULAR_DISEASE",0.138,0.022,0.1,0.183,0.001,0,1042,970,NaN
"Cluster 12, FIRST_WEIGHT_LOSS",0.398,0.025,0.35,0.447,0.001,0.001,948,914,NaN
"Cluster 13, FIRST_BL_ANAEMIA",0.001,0,0.001,0.001,0,0,1007,850,NaN
"Cluster 13, FIRST_ARRYTHMIA",0.002,0,0.002,0.003,0,0,1111,1023,NaN
"Cluster 13, FIRST_CPD",0.004,0,0.004,0.005,0,0,1012,952,NaN
"Cluster 13, FIRST_CHF",0.001,0,0.001,0.001,0,0,1041,939,NaN
"Cluster 13, FIRST_COAGULOPATHY",0.001,0,0.001,0.001,0,0,909,840,NaN
"Cluster 13, FIRST_DEF_ANAEMIA",0.001,0,0.001,0.001,0,0,1035,944,NaN
"Cluster 13, FIRST_DEPRESSION",0.001,0,0.001,0.001,0,0,754,910,NaN
"Cluster 13, FIRST_DIAB_COMP",0.001,0,0.001,0.001,0,0,932,842,NaN
"Cluster 13, FIRST_DIAB",0.001,0,0.001,0.001,0,0,822,906,NaN
"Cluster 13, FIRST_DRUG_ABUSE",0.001,0,0.001,0.001,0,0,998,859,NaN
"Cluster 13, FIRST_FED",0.001,0,0.001,0.001,0,0,957,956,NaN
"Cluster 13, FIRST_HYPERTENSION",0.002,0,0.001,0.002,0,0,781,948,NaN
"Cluster 13, FIRST_HYPERTENSION_COMP",0.001,0,0.001,0.001,0,0,799,1067,NaN
"Cluster 13, FIRST_HYPOTHYROIDISM",0.001,0,0.001,0.001,0,0,856,1021,NaN
"Cluster 13, FIRST_LIVER_DISEASE",0.001,0,0.001,0.001,0,0,910,987,NaN
"Cluster 13, FIRST_LYMPHOMA",0.001,0,0.001,0.001,0,0,1050,1069,NaN
"Cluster 13, FIRST_METASTATIC_CANCER",0.001,0,0.001,0.001,0,0,1103,605,NaN
"Cluster 13, FIRST_OBESITY",0.001,0,0.001,0.001,0,0,889,824,NaN
"Cluster 13, FIRST_OND",0.001,0,0.001,0.001,0,0,1109,942,NaN
"Cluster 13, FIRST_PARALYSIS",0.001,0,0.001,0.001,0,0,956,1023,NaN
"Cluster 13, FIRST_PEP_ULCER",0.001,0,0.001,0.001,0,0,789,907,NaN
"Cluster 13, FIRST_PVD",0.001,0,0.001,0.001,0,0,902,982,NaN
"Cluster 13, FIRST_PSYCHOSES",0.001,0,0.001,0.001,0,0,1006,927,NaN
"Cluster 13, FIRST_PCD",0.001,0,0.001,0.001,0,0,1068,957,NaN
"Cluster 13, FIRST_RENAL_DISEASE",0.001,0,0.001,0.001,0,0,1037,827,NaN
"Cluster 13, FIRST_RA",0.001,0,0.001,0.001,0,0,798,850,NaN
"Cluster 13, FIRST_CANCER",0.004,0,0.004,0.004,0,0,666,868,NaN
"Cluster 13, FIRST_VALVULAR_DISEASE",0.001,0,0.001,0.001,0,0,1032,892,NaN
"Cluster 13, FIRST_WEIGHT_LOSS",0.001,0,0.001,0.001,0,0,1063,941,NaN
"Cluster 14, FIRST_BL_ANAEMIA",0.003,0.001,0.001,0.005,0,0,1175,872,NaN
"Cluster 14, FIRST_ARRYTHMIA",0.126,0.009,0.106,0.143,0,0,877,911,NaN
"Cluster 14, FIRST_CPD",0.141,0.01,0.123,0.16,0,0,1021,974,NaN
"Cluster 14, FIRST_CHF",0.035,0.006,0.024,0.047,0,0,1016,855,NaN
"Cluster 14, FIRST_COAGULOPATHY",0.079,0.006,0.068,0.093,0,0,857,945,NaN
"Cluster 14, FIRST_DEF_ANAEMIA",0.08,0.007,0.067,0.095,0,0,1006,881,NaN
"Cluster 14, FIRST_DEPRESSION",0.32,0.013,0.294,0.344,0,0,1013,789,NaN
"Cluster 14, FIRST_DIAB_COMP",0.002,0.001,0.001,0.004,0,0,821,900,NaN
"Cluster 14, FIRST_DIAB",0.097,0.008,0.082,0.111,0,0,984,1024,NaN
"Cluster 14, FIRST_DRUG_ABUSE",0.086,0.007,0.073,0.099,0,0,1036,708,NaN
"Cluster 14, FIRST_FED",0.384,0.014,0.357,0.414,0,0,963,719,NaN
"Cluster 14, FIRST_HYPERTENSION",0.167,0.011,0.147,0.188,0,0,920,945,NaN
"Cluster 14, FIRST_HYPERTENSION_COMP",0.002,0.001,0.001,0.003,0,0,879,936,NaN
"Cluster 14, FIRST_HYPOTHYROIDISM",0.031,0.005,0.021,0.042,0,0,1188,976,NaN
"Cluster 14, FIRST_LIVER_DISEASE",0.463,0.024,0.417,0.508,0.001,0.001,1045,761,NaN
"Cluster 14, FIRST_LYMPHOMA",0.009,0.003,0.004,0.014,0,0,1001,877,NaN
"Cluster 14, FIRST_METASTATIC_CANCER",0.003,0.002,0.001,0.007,0,0,753,821,NaN
"Cluster 14, FIRST_OBESITY",0.056,0.005,0.046,0.066,0,0,929,936,NaN
"Cluster 14, FIRST_OND",0.423,0.014,0.398,0.45,0,0,902,846,NaN
"Cluster 14, FIRST_PARALYSIS",0.02,0.004,0.012,0.028,0,0,1156,950,NaN
"Cluster 14, FIRST_PEP_ULCER",0.07,0.006,0.059,0.082,0,0,801,879,NaN
"Cluster 14, FIRST_PVD",0.03,0.005,0.02,0.039,0,0,882,819,NaN
"Cluster 14, FIRST_PSYCHOSES",0.03,0.005,0.021,0.038,0,0,1042,953,NaN
"Cluster 14, FIRST_PCD",0.025,0.004,0.018,0.034,0,0,898,912,NaN
"Cluster 14, FIRST_RENAL_DISEASE",0.092,0.007,0.081,0.106,0,0,1036,910,NaN
"Cluster 14, FIRST_RA",0.016,0.003,0.01,0.023,0,0,808,906,NaN
"Cluster 14, FIRST_CANCER",0.088,0.01,0.071,0.108,0,0,1081,1016,NaN
"Cluster 14, FIRST_VALVULAR_DISEASE",0.022,0.004,0.015,0.031,0,0,1020,1024,NaN
"Cluster 14, FIRST_WEIGHT_LOSS",0.147,0.009,0.129,0.165,0,0,1016,972,NaN
"Cluster 15, FIRST_BL_ANAEMIA",0.021,0.002,0.017,0.025,0,0,1043,1065,NaN
"Cluster 15, FIRST_ARRYTHMIA",0.059,0.006,0.046,0.07,0,0,990,944,NaN
"Cluster 15, FIRST_CPD",0.145,0.009,0.128,0.163,0,0,948,907,NaN
"Cluster 15, FIRST_CHF",0.007,0.002,0.004,0.011,0,0,943,939,NaN
"Cluster 15, FIRST_COAGULOPATHY",0.021,0.002,0.017,0.025,0,0,1036,882,NaN
"Cluster 15, FIRST_DEF_ANAEMIA",0.335,0.011,0.312,0.357,0,0,1061,935,NaN
"Cluster 15, FIRST_DEPRESSION",0.245,0.01,0.225,0.263,0,0,973,1025,NaN
"Cluster 15, FIRST_DIAB_COMP",0.001,0,0.001,0.002,0,0,949,972,NaN
"Cluster 15, FIRST_DIAB",0.129,0.006,0.119,0.142,0,0,1013,871,NaN
"Cluster 15, FIRST_DRUG_ABUSE",0.002,0.001,0.001,0.003,0,0,949,855,NaN
"Cluster 15, FIRST_FED",0.07,0.006,0.058,0.082,0,0,677,849,NaN
"Cluster 15, FIRST_HYPERTENSION",0.308,0.011,0.288,0.33,0,0,914,978,NaN
"Cluster 15, FIRST_HYPERTENSION_COMP",0.001,0,0.001,0.001,0,0,942,908,NaN
"Cluster 15, FIRST_HYPOTHYROIDISM",0.135,0.006,0.125,0.147,0,0,1020,942,NaN
"Cluster 15, FIRST_LIVER_DISEASE",0.071,0.004,0.063,0.08,0,0,949,884,NaN
"Cluster 15, FIRST_LYMPHOMA",0.014,0.002,0.01,0.018,0,0,808,872,NaN
"Cluster 15, FIRST_METASTATIC_CANCER",0.001,0,0.001,0.002,0,0,963,939,NaN
"Cluster 15, FIRST_OBESITY",0.049,0.006,0.037,0.062,0,0,744,756,NaN
"Cluster 15, FIRST_OND",0.064,0.006,0.053,0.075,0,0,1096,923,NaN
"Cluster 15, FIRST_PARALYSIS",0.004,0.002,0.002,0.007,0,0,887,1067,NaN
"Cluster 15, FIRST_PEP_ULCER",0.125,0.006,0.115,0.137,0,0,932,942,NaN
"Cluster 15, FIRST_PVD",0.037,0.004,0.031,0.045,0,0,952,944,NaN
"Cluster 15, FIRST_PSYCHOSES",0.002,0.001,0.001,0.003,0,0,1015,922,NaN
"Cluster 15, FIRST_PCD",0.024,0.003,0.019,0.029,0,0,904,896,NaN
"Cluster 15, FIRST_RENAL_DISEASE",0.06,0.004,0.052,0.068,0,0,998,1019,NaN
"Cluster 15, FIRST_RA",0.099,0.005,0.091,0.109,0,0,686,1010,NaN
"Cluster 15, FIRST_CANCER",0.089,0.007,0.076,0.103,0,0,624,929,NaN
"Cluster 15, FIRST_VALVULAR_DISEASE",0.027,0.003,0.021,0.032,0,0,883,1015,NaN
"Cluster 15, FIRST_WEIGHT_LOSS",0.193,0.008,0.177,0.207,0,0,926,815,NaN
"Cluster 16, FIRST_BL_ANAEMIA",0.001,0,0.001,0.002,0,0,822,848,NaN
"Cluster 16, FIRST_ARRYTHMIA",0.279,0.007,0.267,0.294,0,0,969,954,NaN
"Cluster 16, FIRST_CPD",0.129,0.006,0.117,0.139,0,0,1131,966,NaN
"Cluster 16, FIRST_CHF",0.007,0.002,0.004,0.012,0,0,926,902,NaN
"Cluster 16, FIRST_COAGULOPATHY",0.011,0.001,0.009,0.014,0,0,974,930,NaN
"Cluster 16, FIRST_DEF_ANAEMIA",0.056,0.004,0.049,0.064,0,0,980,861,NaN
"Cluster 16, FIRST_DEPRESSION",0.21,0.006,0.197,0.222,0,0,939,961,NaN
"Cluster 16, FIRST_DIAB_COMP",0.001,0,0.001,0.002,0,0,928,1015,NaN
"Cluster 16, FIRST_DIAB",0.118,0.005,0.109,0.127,0,0,1011,872,NaN
"Cluster 16, FIRST_DRUG_ABUSE",0.005,0.001,0.003,0.007,0,0,985,924,NaN
"Cluster 16, FIRST_FED",0.103,0.007,0.09,0.115,0,0,968,1113,NaN
"Cluster 16, FIRST_HYPERTENSION",0.512,0.009,0.494,0.53,0,0,931,970,NaN
"Cluster 16, FIRST_HYPERTENSION_COMP",0.001,0,0.001,0.002,0,0,1098,1025,NaN
"Cluster 16, FIRST_HYPOTHYROIDISM",0.061,0.003,0.054,0.067,0,0,1103,905,NaN
"Cluster 16, FIRST_LIVER_DISEASE",0.011,0.002,0.008,0.015,0,0,1009,897,NaN
"Cluster 16, FIRST_LYMPHOMA",0.004,0.001,0.002,0.006,0,0,845,886,NaN
"Cluster 16, FIRST_METASTATIC_CANCER",0.002,0.001,0.001,0.003,0,0,1016,973,NaN
"Cluster 16, FIRST_OBESITY",0.061,0.004,0.054,0.069,0,0,1001,743,NaN
"Cluster 16, FIRST_OND",0.819,0.015,0.791,0.847,0,0,998,1065,NaN
"Cluster 16, FIRST_PARALYSIS",0.16,0.005,0.15,0.169,0,0,984,916,NaN
"Cluster 16, FIRST_PEP_ULCER",0.014,0.002,0.011,0.018,0,0,906,941,NaN
"Cluster 16, FIRST_PVD",0.058,0.003,0.051,0.065,0,0,997,904,NaN
"Cluster 16, FIRST_PSYCHOSES",0.023,0.002,0.019,0.027,0,0,932,1031,NaN
"Cluster 16, FIRST_PCD",0.032,0.002,0.027,0.036,0,0,945,915,NaN
"Cluster 16, FIRST_RENAL_DISEASE",0.072,0.005,0.063,0.082,0,0,942,876,NaN
"Cluster 16, FIRST_RA",0.026,0.002,0.021,0.03,0,0,999,1023,NaN
"Cluster 16, FIRST_CANCER",0.15,0.005,0.139,0.16,0,0,974,689,NaN
"Cluster 16, FIRST_VALVULAR_DISEASE",0.024,0.003,0.018,0.03,0,0,1111,981,NaN
"Cluster 16, FIRST_WEIGHT_LOSS",0.077,0.004,0.07,0.084,0,0,908,884,NaN
"Cluster 17, FIRST_BL_ANAEMIA",0.005,0.002,0.002,0.009,0,0,1070,636,NaN
"Cluster 17, FIRST_ARRYTHMIA",0.152,0.013,0.131,0.18,0,0,1130,1024,NaN
"Cluster 17, FIRST_CPD",0.217,0.015,0.187,0.245,0,0,940,962,NaN
"Cluster 17, FIRST_CHF",0.026,0.007,0.014,0.039,0,0,958,863,NaN
"Cluster 17, FIRST_COAGULOPATHY",0.012,0.003,0.006,0.018,0,0,1122,914,NaN
"Cluster 17, FIRST_DEF_ANAEMIA",0.14,0.01,0.123,0.16,0,0,1024,921,NaN
"Cluster 17, FIRST_DEPRESSION",0.156,0.011,0.137,0.18,0,0,905,990,NaN
"Cluster 17, FIRST_DIAB_COMP",0.287,0.013,0.26,0.312,0,0,1072,943,NaN
"Cluster 17, FIRST_DIAB",0.993,0.006,0.982,0.999,0,0,1010,901,NaN
"Cluster 17, FIRST_DRUG_ABUSE",0.005,0.002,0.002,0.009,0,0,973,844,NaN
"Cluster 17, FIRST_FED",0.186,0.011,0.166,0.21,0,0,990,952,NaN
"Cluster 17, FIRST_HYPERTENSION",0.739,0.015,0.709,0.767,0.001,0,884,1020,NaN
"Cluster 17, FIRST_HYPERTENSION_COMP",0.003,0.001,0.001,0.005,0,0,947,881,NaN
"Cluster 17, FIRST_HYPOTHYROIDISM",0.092,0.009,0.074,0.11,0,0,1016,906,NaN
"Cluster 17, FIRST_LIVER_DISEASE",0.093,0.008,0.078,0.109,0,0,985,952,NaN
"Cluster 17, FIRST_LYMPHOMA",0.016,0.004,0.009,0.023,0,0,895,1067,NaN
"Cluster 17, FIRST_METASTATIC_CANCER",0.833,0.018,0.799,0.869,0.001,0,1040,996,NaN
"Cluster 17, FIRST_OBESITY",0.192,0.011,0.172,0.213,0,0,995,1026,NaN
"Cluster 17, FIRST_OND",0.102,0.009,0.085,0.119,0,0,885,648,NaN
"Cluster 17, FIRST_PARALYSIS",0.02,0.005,0.01,0.03,0,0,835,675,NaN
"Cluster 17, FIRST_PEP_ULCER",0.029,0.005,0.02,0.04,0,0,969,873,NaN
"Cluster 17, FIRST_PVD",0.084,0.009,0.065,0.1,0,0,972,749,NaN
"Cluster 17, FIRST_PSYCHOSES",0.006,0.003,0.002,0.011,0,0,951,979,NaN
"Cluster 17, FIRST_PCD",0.092,0.009,0.074,0.109,0,0,839,945,NaN
"Cluster 17, FIRST_RENAL_DISEASE",0.12,0.01,0.101,0.141,0,0,1012,1021,NaN
"Cluster 17, FIRST_RA",0.035,0.005,0.024,0.044,0,0,982,1026,NaN
"Cluster 17, FIRST_CANCER",0.954,0.008,0.94,0.968,0,0,909,964,NaN
"Cluster 17, FIRST_VALVULAR_DISEASE",0.024,0.005,0.015,0.035,0,0,1157,941,NaN
"Cluster 17, FIRST_WEIGHT_LOSS",0.124,0.01,0.106,0.143,0,0,946,912,NaN
"Cluster 18, FIRST_BL_ANAEMIA",0.002,0,0.001,0.002,0,0,1061,944,NaN
"Cluster 18, FIRST_ARRYTHMIA",0.03,0.004,0.022,0.038,0,0,1025,946,NaN
"Cluster 18, FIRST_CPD",0.136,0.006,0.122,0.147,0,0,1019,979,NaN
"Cluster 18, FIRST_CHF",0.01,0.002,0.006,0.014,0,0,965,944,NaN
"Cluster 18, FIRST_COAGULOPATHY",0.003,0.001,0.001,0.005,0,0,995,902,NaN
"Cluster 18, FIRST_DEF_ANAEMIA",0.033,0.004,0.026,0.042,0,0,1058,983,NaN
"Cluster 18, FIRST_DEPRESSION",0.129,0.006,0.118,0.14,0,0,1003,855,NaN
"Cluster 18, FIRST_DIAB_COMP",0.001,0,0.001,0.002,0,0,1015,992,NaN
"Cluster 18, FIRST_DIAB",0.033,0.005,0.024,0.043,0,0,1029,939,NaN
"Cluster 18, FIRST_DRUG_ABUSE",0.003,0.001,0.001,0.005,0,0,1009,865,NaN
"Cluster 18, FIRST_FED",0.044,0.005,0.035,0.055,0,0,966,952,NaN
"Cluster 18, FIRST_HYPERTENSION",0.182,0.01,0.163,0.202,0,0,1029,800,NaN
"Cluster 18, FIRST_HYPERTENSION_COMP",0.001,0,0.001,0.002,0,0,1128,983,NaN
"Cluster 18, FIRST_HYPOTHYROIDISM",0.048,0.004,0.042,0.056,0,0,1102,881,NaN
"Cluster 18, FIRST_LIVER_DISEASE",0.019,0.003,0.014,0.026,0,0,959,940,NaN
"Cluster 18, FIRST_LYMPHOMA",0.002,0.001,0.001,0.004,0,0,778,944,NaN
"Cluster 18, FIRST_METASTATIC_CANCER",0.958,0.013,0.934,0.981,0,0,873,981,NaN
"Cluster 18, FIRST_OBESITY",0.027,0.004,0.02,0.034,0,0,986,948,NaN
"Cluster 18, FIRST_OND",0.005,0.003,0.001,0.01,0,0,1141,876,NaN
"Cluster 18, FIRST_PARALYSIS",0.004,0.002,0.002,0.007,0,0,1010,1017,NaN
"Cluster 18, FIRST_PEP_ULCER",0.008,0.002,0.005,0.012,0,0,977,847,NaN
"Cluster 18, FIRST_PVD",0.006,0.002,0.003,0.011,0,0,991,792,NaN
"Cluster 18, FIRST_PSYCHOSES",0.004,0.001,0.002,0.005,0,0,908,983,NaN
"Cluster 18, FIRST_PCD",0.03,0.004,0.023,0.039,0,0,923,653,NaN
"Cluster 18, FIRST_RENAL_DISEASE",0.011,0.003,0.005,0.018,0,0,868,944,NaN
"Cluster 18, FIRST_RA",0.01,0.002,0.005,0.014,0,0,975,984,NaN
"Cluster 18, FIRST_CANCER",0.997,0.002,0.994,0.999,0,0,1039,980,NaN
"Cluster 18, FIRST_VALVULAR_DISEASE",0.002,0.001,0.001,0.005,0,0,1010,983,NaN
"Cluster 18, FIRST_WEIGHT_LOSS",0.042,0.005,0.033,0.051,0,0,941,844,NaN
"Cluster 19, FIRST_BL_ANAEMIA",0.001,0,0.001,0.002,0,0,974,983,NaN
"Cluster 19, FIRST_ARRYTHMIA",0.093,0.003,0.087,0.099,0,0,944,901,NaN
"Cluster 19, FIRST_CPD",0.239,0.007,0.227,0.253,0,0,1001,983,NaN
